target_atr,stop_atr,hold,rr,setup,n,win_rate,r_mean,r_ci_lo,r_ci_hi,edge_vs_control
2.0,0.75,10,2.6666666666666665,breakout_20d,16238,0.22564355216159626,-0.08128527370695562,-0.12632003041588838,-0.033620927323138886,-0.10274952742032256
2.0,0.75,10,2.6666666666666665,pullback_uptrend,161215,0.25186241975002327,0.032031889334612325,-0.014733889670237995,0.08052089351262635,0.010567635621245394
2.0,0.75,10,2.6666666666666665,tight_flag,214638,0.2582627493733635,-0.000977327605515093,-0.04610387096953579,0.048077633809261985,-0.022441581318882024
2.0,0.75,10,2.6666666666666665,oversold_bounce,14270,0.2646811492641906,0.12581674725397154,0.038952523981576344,0.2267851263224247,0.10435249354060461
2.0,0.75,10,2.6666666666666665,high_52w_momo,102108,0.22658361734633917,-0.08198549828458888,-0.11725709391926269,-0.04565842102695682,-0.10344975199795581
2.0,0.75,10,2.6666666666666665,any_liquid,112903,0.24246477064382702,0.02146425371336693,-0.016164146429154536,0.05780896184973922,0.0
2.0,0.75,20,2.6666666666666665,breakout_20d,16238,0.2611159009730262,-0.07989648854753692,-0.12589719752409675,-0.030028744631343685,-0.11001642988184016
2.0,0.75,20,2.6666666666666665,pullback_uptrend,161215,0.2925720311385417,0.03656122594684884,-0.013243500039576219,0.08699700308866379,0.00644128461254561
2.0,0.75,20,2.6666666666666665,tight_flag,214638,0.2892125345931289,0.0035698785176902803,-0.041988996347909625,0.05419456613670925,-0.026550062816612947
2.0,0.75,20,2.6666666666666665,oversold_bounce,14270,0.3147862648913805,0.1372064658687741,0.048406044129435104,0.2433345055202862,0.10708652453447087
2.0,0.75,20,2.6666666666666665,high_52w_momo,102108,0.2633681983781878,-0.07577620466996896,-0.11325965241367497,-0.036136562837953176,-0.10589614600427219
2.0,0.75,20,2.6666666666666665,any_liquid,112903,0.28698085967600506,0.030119941334303228,-0.010842356474384338,0.06960393630220586,0.0
2.0,1.0,5,2.0,breakout_20d,16238,0.16726197807611776,-0.06339826128249787,-0.09885655234212064,-0.027540830174611987,-0.0772369692642009
2.0,1.0,5,2.0,pullback_uptrend,161215,0.16739757466736965,0.02958758468440932,-0.005621335134743274,0.06624098861749583,0.015748876702706284
2.0,1.0,5,2.0,tight_flag,214638,0.18417055693772771,0.004616222199239662,-0.028713374253841847,0.04034618753907962,-0.009222485782463374
2.0,1.0,5,2.0,oversold_bounce,14270,0.1770147161878066,0.08515450214047122,0.021720946186418587,0.15871755610922048,0.0713157941587682
2.0,1.0,5,2.0,high_52w_momo,102108,0.16348376229090766,-0.06418318238209057,-0.08995605377101264,-0.03710487744488334,-0.0780218903637936
2.0,1.0,5,2.0,any_liquid,112903,0.15861403151377731,0.013838707981703035,-0.013315778200600804,0.04017780683569864,0.0
2.0,1.0,10,2.0,breakout_20d,16238,0.2622244118733834,-0.06001324430565346,-0.10225576755532037,-0.01746206244378093,-0.09461794228824383
2.0,1.0,10,2.0,pullback_uptrend,161215,0.2905498867971343,0.04281784691531534,-0.0007330262483625268,0.08778611779676869,0.00821314893272497
