exit,setup,n,R,edge,lo,hi,months_pos,hold,clears
bracket_2.0R_15d,bb_lower,103516,0.10370313333605005,0.14269749981206606,0.09895884793966385,0.18491288189889818,0.6718146718146718,5.259563738938908,True
bracket_2.0R_15d,idio_drop,88315,0.010573868198940543,-0.05210701527782088,-0.08390425644296423,-0.01875989164458273,0.3745173745173745,5.735401687142614,False
bracket_2.0R_15d,market_drop,38797,0.16530163136145873,0.343509328535296,0.2743220701486645,0.41131269347632504,0.759825327510917,4.9080599015387785,True
bracket_2.0R_15d,down_5days,136586,0.09796940826178596,0.14960730073341744,0.11255148928914506,0.1870879601263597,0.7038461538461539,5.324227958941619,True
bracket_2.5R_15d,connors_rsi2,102110,0.10509206855111908,0.1349838380298511,0.09293432079595586,0.17610521467453424,0.676923076923077,6.099324258152972,True
bracket_2.5R_15d,pullback_3day,118328,0.1150269378679346,0.0910356737391535,0.05361073604596352,0.12815000417212588,0.6538461538461539,6.176044554120749,True
bracket_2.5R_15d,rs_pullback_50ma,19142,0.10195859132496553,0.08598781202280255,0.041099783795858165,0.13269286307151892,0.5992217898832685,6.144499007418243,True
bracket_2.5R_15d,connors_rsi2_strict,35217,0.09871478144996754,0.1748614599511288,0.11945529282197025,0.23024174159701205,0.6807692307692308,6.0690007666751855,True
bracket_2.5R_15d,cum_rsi,126979,0.10911501177477674,0.12831098563702412,0.08705797221258424,0.1686022521202676,0.6807692307692308,6.216563368746013,True
bracket_2.5R_15d,ibs_low,241491,0.0885257132224321,0.029848558255988672,0.0025958854042224602,0.05695145221247463,0.5653846153846154,6.206003536363674,True
bracket_2.5R_15d,bb_lower,103516,0.11695232025932634,0.1541568206330341,0.10671503656007637,0.20175731190054666,0.6718146718146718,6.102013215348352,True
bracket_2.5R_15d,idio_drop,88315,0.0106946479210486,-0.07153688833146317,-0.10947632406676358,-0.03341418259633453,0.3745173745173745,6.508396082205741,False
bracket_2.5R_15d,market_drop,38797,0.18419394385617888,0.3529625034497887,0.2770670316843673,0.4265040167385028,0.7379912663755459,5.7824316313117,True
bracket_2.5R_15d,down_5days,136586,0.10649783390409823,0.15757734997789535,0.11583068958033246,0.1991931480990612,0.7230769230769231,6.1734731231605,True
bracket_3.0R_20d,connors_rsi2,102110,0.12138562625122773,0.13967033788826236,0.09297460401471107,0.18373625557526352,0.676923076923077,7.287415532269121,True
bracket_3.0R_20d,pullback_3day,118328,0.13506391958579783,0.0909175994739787,0.05086071378517795,0.12997185787330656,0.6269230769230769,7.3597288891893715,True
bracket_3.0R_20d,rs_pullback_50ma,19142,0.13500716579805513,0.1045594325440713,0.05523445559262701,0.15443192051177554,0.5953307392996109,7.308170515097691,True
bracket_3.0R_20d,connors_rsi2_strict,35217,0.10330342900146607,0.16654597728835407,0.1048684298076139,0.2297898219049925,0.6461538461538462,7.266433824573359,True
bracket_3.0R_20d,cum_rsi,126979,0.12608853111229962,0.13060866720619843,0.08528352894011475,0.17380905312183648,0.6538461538461539,7.413131305176447,True
bracket_3.0R_20d,ibs_low,241491,0.10696507938328145,0.02679626467657831,-0.002219971047994428,0.05566983451031339,0.5846153846153846,7.409679863845858,False
bracket_3.0R_20d,bb_lower,103516,0.14300398884133106,0.16317881831444198,0.10996931473264444,0.21483649520060746,0.6447876447876448,7.3130433942578925,True
bracket_3.0R_20d,idio_drop,88315,0.028581372735426488,-0.07767256245916165,-0.11869825613808734,-0.03401776204707154,0.38996138996138996,7.7264111419351185,False
bracket_3.0R_20d,market_drop,38797,0.2137673828314939,0.37530055180448446,0.2936977564179032,0.457044961224576,0.74235807860262,6.925277727659355,True
bracket_3.0R_20d,down_5days,136586,0.12232695060436341,0.15481593662216828,0.10984184280614967,0.19829401984566813,0.6961538461538461,7.381005373903621,True
bracket_4.0R_30d,connors_rsi2,102110,0.165286818738001,0.16228043660531044,0.10901886777294231,0.2133511546562778,0.7038461538461539,9.503231808833611,True
bracket_4.0R_30d,pullback_3day,118328,0.1862221764489995,0.11261425915656635,0.06561105382539452,0.1599035954753194,0.6384615384615384,9.56603677912244,True
bracket_4.0R_30d,rs_pullback_50ma,19142,0.19414453201905635,0.14034955925565298,0.07881682454529208,0.20130548349176206,0.5875486381322957,9.533800020896457,True
